Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Art1uf,Art2uf,Capital,Uf
Mato Grosso,mato-grosso,655f5fba2f083eb5c89f2dc0,6552987bfd4a5980b0cc5b42,655f6d39ee9de79a82a29c91,false,false,Thu Nov 23 2023 15:18:17 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:17 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:41 GMT+0000 (Coordinated Universal Time),em,de,cuiaba,mt
Mato Grosso do Sul,mato-grosso-do-sul,655f5fba2f083eb5c89f2dc0,6552987bfd4a5980b0cc5b42,655f6d393eb38476a64d63c4,false,false,Thu Nov 23 2023 15:18:17 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:17 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:41 GMT+0000 (Coordinated Universal Time),em,de,campo-grande,ms
Minas Gerais,minas-gerais,655f5fba2f083eb5c89f2dc0,6552987bfd4a5980b0cc5b42,655f6d384c2ee22a36755618,false,false,Thu Nov 23 2023 15:18:16 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:16 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:41 GMT+0000 (Coordinated Universal Time),em,de,belo-horizonte,mg
Paraná,parana,655f5fba2f083eb5c89f2dc0,6552987bfd4a5980b0cc5b42,655f6d39020f2c46b8f70a63,false,false,Thu Nov 23 2023 15:18:17 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:17 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:41 GMT+0000 (Coordinated Universal Time),no,do,curitiba,pr
Paraíba,paraiba,655f5fba2f083eb5c89f2dc0,6552987bfd4a5980b0cc5b42,655f6d39bd2135102d23a860,false,false,Thu Nov 23 2023 15:18:17 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:17 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:41 GMT+0000 (Coordinated Universal Time),na,da,joao-pessoa,pb
Pará,para,655f5fba2f083eb5c89f2dc0,6552987bfd4a5980b0cc5b42,655f6d3969febded4049769a,false,false,Thu Nov 23 2023 15:18:17 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:17 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:41 GMT+0000 (Coordinated Universal Time),no,do,belem,pa
Pernambuco,pernambuco,655f5fba2f083eb5c89f2dc0,6552987bfd4a5980b0cc5b42,655f6d3ae800042518c4aa56,false,false,Thu Nov 23 2023 15:18:18 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:18 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:41 GMT+0000 (Coordinated Universal Time),em,de,recife,pe
Piauí,piaui,655f5fba2f083eb5c89f2dc0,6552987bfd4a5980b0cc5b42,655f6d3ad4f29f25addddf9e,false,false,Thu Nov 23 2023 15:18:18 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:18 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:41 GMT+0000 (Coordinated Universal Time),no,do,teresina,pi
Rio Grande do Norte,rio-grande-do-norte,655f5fba2f083eb5c89f2dc0,6552987bfd4a5980b0cc5b42,655f6d3a020f2c46b8f70aa5,false,false,Thu Nov 23 2023 15:18:18 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:18 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:41 GMT+0000 (Coordinated Universal Time),no,do,natal,rn
Rio Grande do Sul,rio-grande-do-sul,655f5fba2f083eb5c89f2dc0,6552987bfd4a5980b0cc5b42,655f6d3a756f81734148a67e,false,false,Thu Nov 23 2023 15:18:18 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:18 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:41 GMT+0000 (Coordinated Universal Time),no,do,porto-alegre,rs
Rio de Janeiro,rio-de-janeiro,655f5fba2f083eb5c89f2dc0,6552987bfd4a5980b0cc5b42,655f6d3a5b7183e2291a84bc,false,false,Thu Nov 23 2023 15:18:18 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:18 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:41 GMT+0000 (Coordinated Universal Time),no,do,rio-de-janeiro,rj
Rondônia,rondonia,655f5fba2f083eb5c89f2dc0,6552987bfd4a5980b0cc5b42,655f6d3a36b26eb9b7c8bcfe,false,false,Thu Nov 23 2023 15:18:18 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:18 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:41 GMT+0000 (Coordinated Universal Time),em,de,porto-velho,ro
Roraima,roraima,655f5fba2f083eb5c89f2dc0,6552987bfd4a5980b0cc5b42,655f6d38ad3a828dbac4fc70,false,false,Thu Nov 23 2023 15:18:16 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:16 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:41 GMT+0000 (Coordinated Universal Time),em,de,boa-vista,rr
Santa Catarina,santa-catarina,655f5fba2f083eb5c89f2dc0,6552987bfd4a5980b0cc5b42,655f6d39eb1c35889b117614,false,false,Thu Nov 23 2023 15:18:17 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:17 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:41 GMT+0000 (Coordinated Universal Time),em,de,florianopolis,sc
Sergipe,sergipe,655f5fba2f083eb5c89f2dc0,6552987bfd4a5980b0cc5b42,655f6d380fbfe2aab6abd7db,false,false,Thu Nov 23 2023 15:18:16 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:16 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:41 GMT+0000 (Coordinated Universal Time),em,de,aracaju,se
São Paulo,sao-paulo,655f5fba2f083eb5c89f2dc0,6552987bfd4a5980b0cc5b42,655f6d3a0741522249726e1c,false,false,Thu Nov 23 2023 15:18:18 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:18 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:41 GMT+0000 (Coordinated Universal Time),em,de,sao-paulo,sp
Tocantins,tocantins,655f5fba2f083eb5c89f2dc0,6552987bfd4a5980b0cc5b42,655f6d3abd42948e5c6f30a2,false,false,Thu Nov 23 2023 15:18:18 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:18 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 15:18:41 GMT+0000 (Coordinated Universal Time),em,de,palmas,to
